,证券代码,证券名称,major,行业名称,收入,成本,利润,利润率
300036.SZ,300036,超图软件,96.83,软件,452341602.93,163365554.26,288976048.67,63.88447288469266
000828.SZ,000828,东莞控股,85.18,交通运输辅助业,934344294.78,336947526.13,597396768.65,63.93754122410119
601519.SH,601519,大智慧,98.77,信息咨询服务业,643300000.0,231710000.0,411590000.0,63.981035286802424
300446.SZ,300446,乐凯新材,99.99,信息化学品制造业,241387546.24,86941194.32,154446351.92,63.98273412433689
002424.SZ,002424,贵州百灵,95.0,工业,1804119925.81,649236373.51,1154883552.3,64.01367978802679
300306.SZ,300306,远方光电,100.0,工业,184406409.51,66258050.68,118148358.83,64.06955113108097
600033.SH,600033,福建高速,98.74,高速公路经营,2545374964.44,908361414.3,1637013550.14,64.3132573003897
000790.SZ,000790,华神集团,83.56,医药业,387152069.14,138121724.77,249030344.37,64.323650632472
002270.SZ,002270,华明装备,100.0,高压电气开关,602919766.23,214097445.09,388822321.14,64.48989449645498
002317.SZ,002317,众生药业,96.07,医药制造,1515746908.52,530712217.48,985034691.04,64.98675243888863
002038.SZ,002038,双鹭药业,97.64,医药行业,1129268532.38,392305402.34,736963130.04,65.2602201255716
603117.SH,603117,万林股份,100.0,现代服务业,379693835.51,130837360.68,248856474.83,65.54135241509495
603568.SH,603568,伟明环保,99.2,工业,669657809.31,228844696.16,440813113.15,65.82662174942807
600639.SH,600639,浦东金桥,91.96,房地产业,1379110195.67,469072662.6,910037533.07,65.98729644137575
300051.SZ,300051,三五互联,95.04,商业,236625703.45,79858856.06,156766847.39,66.2509799672399
600350.SH,600350,山东高速,93.15,收费路桥之通行费,6478150599.0,2174083118.0,4304067481.0,66.43975645864728
600199.SH,600199,金种子酒,87.13,酒类,1505278579.99,501266158.02,1004012421.97,66.69944256940599
300482.SZ,300482,万孚生物,100.0,诊断产品,428779834.0,142479697.25,286300136.75,66.77089593490537
300255.SZ,300255,常山药业,99.96,生物医药,915642882.41,304116701.96,611526180.45,66.78653787385367
300298.SZ,300298,三诺生物,98.07,医疗器械,633011317.31,210203072.54,422808244.77,66.79315727983126
002118.SZ,002118,紫鑫药业,100.0,医药行业,633260028.2,210184327.94,423075700.26,66.80915917945505
600790.SH,600790,轻纺城,83.38,市场租赁,659320099.81,218154896.47,441165203.34,66.91214229129874
002653.SZ,002653,海思科,99.95,医药行业,1211787675.26,398994305.42,812793369.84,67.07390959935353
002550.SZ,002550,千红制药,99.92,生物制药行业,756440068.71,247449735.84,508990332.87,67.28759539906578
002437.SZ,002437,誉衡药业,84.73,医药制造,2288262891.52,748009947.28,1540252944.24,67.31101351806971
