,证券代码,证券名称,major,行业名称,收入,成本,利润,利润率
603508.SH,603508,思维列控,99.79,LKJ系统,551781858.36,188025182.76,363756675.6,65.92400059711161
300354.SZ,300354,东华测试,98.05,动态信号测试分析系统,70170297.72,23910915.22,46259382.5,65.92444952220163
603808.SH,603808,歌力思,98.64,外套,275557386.87,92869385.47,182688001.4,66.2976244168649
600350.SH,600350,山东高速,93.15,收费路桥之通行费,6478150599.0,2174083118.0,4304067481.0,66.43975645864728
601519.SH,601519,大智慧,98.77,港股服务系统,218370000.0,73160000.0,145210000.0,66.49722947291295
300075.SZ,300075,数字政通,97.46,软件开发,310741259.22,103970526.75,206770732.47,66.54112588364376
600236.SH,600236,桂冠电力,99.41,水力发电,8845110916.46,2948904401.03,5896206515.43,66.66062835297703
600199.SH,600199,金种子酒,87.13,酒类收入,1505278579.99,501266158.02,1004012421.97,66.69944256940599
300298.SZ,300298,三诺生物,98.07,血糖测试仪,633011317.31,210203072.54,422808244.77,66.79315727983126
603998.SH,603998,方盛制药,99.65,心脑血管,160620379.28,53198101.94,107422277.34,66.87960632488428
600790.SH,600790,轻纺城,83.38,市场租赁,659320099.81,218154896.47,441165203.34,66.91214229129874
002315.SZ,002315,焦点科技,83.11,注册收费会员服务,213675233.48,69818395.31,143856838.17,67.32499402344867
300367.SZ,300367,东方网力,89.09,PVG网络视频管理平台,496393143.45,161608854.37,334784289.08,67.44337497355495
002603.SZ,002603,以岭药业,99.87,心脑血管类药,2139624190.3,695352841.94,1444271348.36,67.50116935990972
300036.SZ,300036,超图软件,96.83,GIS软件,419306235.46,135573248.24,283732987.22,67.66724728258112
600033.SH,600033,福建高速,98.74,福泉高速,1353803753.83,437466831.77,916336922.06,67.68609700391379
002270.SZ,002270,华明装备,100.0,真空开断有载分接开关,340523934.74,107906559.52,232617375.22,68.3116079337008
600285.SH,600285,羚锐制药,98.59,贴膏剂,738790000.0,233830000.0,504960000.0,68.34959866809243
002280.SZ,002280,联络互动,100.0,应用软件开发与销售,528125805.94,166170059.79,361955746.15,68.53589468247297
300446.SZ,300446,乐凯新材,99.99,热敏磁票,189501545.57,59574299.79,129927245.78,68.56263118550986
000869.SZ,000869,张裕A,100.0,葡萄酒,3659597234.0,1145785230.0,2513812004.0,68.69094720711553
000711.SZ,000711,京蓝科技,82.58,物业租赁、咨询及管理,59528060.21,18626477.11,40901583.1,68.70975293955408
002640.SZ,002640,跨境通,94.14,服饰家居,2165320457.44,676945686.38,1488374771.06,68.73692833529432
300439.SZ,300439,美康生物,100.0,体外诊断试剂,533543612.15,166729899.38,366813712.77,68.75046470744257
002555.SZ,002555,三七互娱,90.39,网页游戏,3670353404.36,1145012309.37,2525341094.99,68.80375856968313
000428.SZ,000428,华天酒店,82.04,客房,437186628.51,130228879.6,306957748.91,70.21206251347617
603198.SH,603198,迎驾贡酒,91.37,中高档白酒,1376588249.32,406130295.88,970457953.44,70.49732946067074
600809.SH,600809,山西汾酒,98.87,中高价白酒,2792784114.99,821052067.55,1971732047.44,70.60094752247115
300482.SZ,300482,万孚生物,100.0,传染病检测,151251536.4,44377698.02,106873838.38,70.65967124946177
300016.SZ,300016,北陆药业,85.89,对比剂,352363643.37,100717823.41,251645819.96,71.4165109525102
000596.SZ,000596,古井贡酒,100.0,白酒,5118622287.57,1456785874.42,3661836413.15,71.53949261000092
300253.SZ,300253,卫宁健康,100.0,软件销售,417478529.5,118683068.86,298795460.64,71.57145566212884
603300.SH,603300,华铁科技,94.98,钢支撑租赁,128866734.73,36001035.96,92865698.77,72.06335984579036
002724.SZ,002724,海洋王,100.0,设备产品销售,392355177.32,109152733.46,283202443.86,72.18012154049482
600337.SH,600337,美克家居,98.85,零售家居商品-实木,1362657057.6,374437175.3,988219882.3,72.52153994200984
000423.SZ,000423,东阿阿胶,87.81,阿胶及系列,4526291364.56,1238255382.25,3288035982.31,72.64304741967554
002646.SZ,002646,青青稞酒,93.48,中高档青稞酒,918132362.71,250669502.7,667462860.01,72.69789053507353
000792.SZ,000792,盐湖股份,96.82,氯化钾,7878978044.17,2073233578.42,5805744465.75,73.68651661678285
002763.SZ,002763,汇洁股份,99.62,文胸,1094846290.19,287246092.01,807600198.18,73.76379729430775
